id,event,start_date,end_date,all_day,description,start_datetime
28,Food Truck Rally,2025-07-05 11:00,2025-07-05 16:00,False,Enjoy a variety of gourmet food truck offerings in one lively day.,2025-07-05 11:00:00
29,Outdoor Movie Night,2025-06-20 19:00,2025-06-20 22:00,False,Watch a blockbuster under the stars at our outdoor movie night.,2025-06-20 19:00:00
30,Jazz Concert,2025-05-07 18:00,2025-05-07 21:00,False,Relax with smooth jazz tunes at our evening concert.,2025-05-07 18:00:00
31,Charity Run,2025-04-03 08:00,2025-04-03 11:00,False,Join the community for a charity run benefiting local causes.,2025-04-03 08:00:00
32,Eco Expo,2025-09-15 09:00,2025-09-17 17:00,True,Explore sustainable innovations at our three-day Eco Expo.,2025-09-15 09:00:00
33,Yoga Retreat,2025-10-05 08:00,2025-10-07 18:00,True,Refresh your mind and body at our weekend yoga retreat.,2025-10-05 08:00:00
34,Book Fair,2025-03-20 10:00,2025-03-20 16:00,False,Discover new reads and meet authors at our one-day book fair.,2025-03-20 10:00:00
35,Innovation Summit,2025-11-10 09:00,2025-11-12 17:00,True,Join industry leaders for a multi-day summit on innovation.,2025-11-10 09:00:00
36,Tech Expo,2025-12-05 10:00,2025-12-07 18:00,True,Experience the latest in technology at our three-day expo.,2025-12-05 10:00:00
37,Vintage Car Show,2025-07-28 10:00,2025-07-28 15:00,False,Admire a collection of classic cars at our one-day show.,2025-07-28 10:00:00
38,Local Farmer's Market,2025-06-15 08:00,2025-06-15 14:00,False,Shop fresh produce at our vibrant local farmer's market.,2025-06-15 08:00:00
39,Brewfest,2025-08-20 14:00,2025-08-20 20:00,False,Sample craft beers at our local brewfest.,2025-08-20 14:00:00
40,Ice Cream Social,2025-07-22 12:00,2025-07-22 16:00,False,Cool down with a community ice cream social.,2025-07-22 12:00:00
41,Chocolate Festival,2025-10-20 11:00,2025-10-20 17:00,False,Indulge in sweet treats at our chocolate festival.,2025-10-20 11:00:00
42,Rooftop Party,2025-08-01 18:00,2025-08-01 22:00,False,Dance the night away at our trendy rooftop party.,2025-08-01 18:00:00
43,Street Dance Battle,2025-09-10 17:00,2025-09-10 21:00,False,Watch epic dance battles at our street dance event.,2025-09-10 17:00:00
44,Community Cleanup,2025-05-20 09:00,2025-05-20 12:00,False,Help beautify our community with a cleanup effort.,2025-05-20 09:00:00
45,Charity Auction,2025-11-15 13:00,2025-11-15 18:00,False,Bid on unique items at our charity auction event.,2025-11-15 13:00:00
46,Gardening Workshop,2025-04-10 10:00,2025-04-10 14:00,False,Learn gardening tips at our hands-on workshop.,2025-04-10 10:00:00
47,Photography Walk,2025-06-25 08:00,2025-06-25 12:00,False,Capture scenic views on our guided photography walk.,2025-06-25 08:00:00
48,Creative Writing Workshop,2025-07-10 10:00,2025-07-10 13:00,False,Enhance your writing skills at our creative workshop.,2025-07-10 10:00:00
49,Wine Tasting,2025-10-30 16:00,2025-10-30 20:00,False,Sample a selection of wines at our tasting event.,2025-10-30 16:00:00
50,Kite Festival,2025-05-30 11:00,2025-05-30 15:00,False,Enjoy a colorful day outdoors at our kite festival.,2025-05-30 11:00:00
51,Cultural Parade,2025-03-30 09:00,2025-03-30 12:00,False,Experience a vibrant cultural parade celebrating diversity.,2025-03-30 09:00:00
